shop,date,weather,temperature,customers
294,2017-01-01,cloudy,3,0
295,2017-01-01,sunny,5,0
296,2017-01-01,rainy,1,0
297,2017-01-01,sunny,4,0
298,2017-01-01,rainy,-2,0
299,2017-01-01,cloudy,3,0
300,2017-01-01,sunny,8,0
301,2017-01-01,sunny,8,0
302,2017-01-01,rainy,6,0
303,2017-01-01,cloudy,13,0
304,2017-01-01,stormy,7,0
305,2017-01-01,stormy,3,0
306,2017-01-01,sunny,10,0
307,2017-01-01,cloudy,7,0
308,2017-01-01,stormy,6,0
309,2017-01-01,stormy,7,0
310,2017-01-01,stormy,0,0
311,2017-01-01,sunny,5,0
312,2017-01-01,cloudy,4,0
313,2017-01-01,rainy,5,0
314,2017-01-01,cloudy,7,0
315,2017-01-01,cloudy,8,0
316,2017-01-01,rainy,6,0
317,2017-01-01,stormy,8,0
318,2017-01-01,cloudy,2,0
319,2017-01-01,rainy,6,0
320,2017-01-01,cloudy,14,0
321,2017-01-01,sunny,4,0
322,2017-01-01,rainy,10,0
323,2017-01-01,sunny,8,0
324,2017-01-01,stormy,3,0
325,2017-01-01,rainy,2,0
326,2017-01-01,sunny,7,0
327,2017-01-01,sunny,4,0
328,2017-01-01,cloudy,6,0
329,2017-01-01,rainy,0,0
330,2017-01-01,cloudy,4,0
331,2017-01-01,sunny,6,0
332,2017-01-01,rainy,3,0
333,2017-01-01,cloudy,7,0
334,2017-01-01,rainy,3,0
335,2017-01-01,cloudy,9,0
336,2017-01-01,sunny,4,0
337,2017-01-01,rainy,6,0
338,2017-01-01,sunny,6,0
339,2017-01-01,stormy,6,0
340,2017-01-01,cloudy,9,0
341,2017-01-01,sunny,0,0
342,2017-01-01,rainy,2,0
343,2017-01-01,sunny,8,0
344,2017-01-01,sunny,5,0
345,2017-01-01,stormy,5,0
346,2017-01-01,cloudy,2,0
347,2017-01-01,cloudy,5,0
348,2017-01-01,rainy,10,0
349,2017-01-01,cloudy,5,0
350,2017-01-01,rainy,2,0
351,2017-01-01,rainy,6,0
352,2017-01-01,rainy,5,0
353,2017-01-01,sunny,5,0
354,2017-01-01,stormy,2,0
355,2017-01-01,cloudy,7,0
356,2017-01-01,rainy,3,0
357,2017-01-01,rainy,8,0
358,2017-01-01,rainy,1,0
359,2017-01-01,stormy,4,0
360,2017-01-01,sunny,9,0
361,2017-01-01,sunny,8,0
362,2017-01-01,sunny,7,0
363,2017-01-01,sunny,8,0
364,2017-01-01,rainy,5,0
365,2017-01-01,rainy,-3,0
366,2017-01-01,rainy,1,0
367,2017-01-01,rainy,7,0
368,2017-01-01,rainy,7,0
369,2017-01-01,cloudy,1,0
370,2017-01-01,rainy,6,0
371,2017-01-01,cloudy,9,0
372,2017-01-01,stormy,4,0
373,2017-01-01,rainy,7,0
374,2017-01-01,sunny,9,0
375,2017-01-01,rainy,4,0
376,2017-01-01,rainy,1,0
377,2017-01-01,rainy,4,0
378,2017-01-01,rainy,-2,0
379,2017-01-01,cloudy,13,0
380,2017-01-01,cloudy,-1,0
381,2017-01-01,rainy,7,0
382,2017-01-01,cloudy,4,0
383,2017-01-01,sunny,7,0
384,2017-01-01,cloudy,5,0
385,2017-01-01,cloudy,2,0
386,2017-01-01,rainy,8,0
387,2017-01-01,cloudy,6,0
388,2017-01-01,stormy,6,0
389,2017-01-01,rainy,5,0
390,2017-01-01,cloudy,5,0
391,2017-01-01,cloudy,8,0
392,2017-01-01,stormy,10,0
393,2017-01-01,rainy,4,0
394,2017-01-01,cloudy,3,0
395,2017-01-01,stormy,4,0
396,2017-01-01,cloudy,4,0
397,2017-01-01,rainy,2,0
398,2017-01-01,sunny,6,0
399,2017-01-01,rainy,3,0
400,2017-01-01,rainy,6,0
401,2017-01-01,cloudy,6,0
402,2017-01-01,stormy,1,0
403,2017-01-01,rainy,9,0
404,2017-01-01,rainy,4,0
405,2017-01-01,rainy,4,0
406,2017-01-01,rainy,5,0
407,2017-01-01,rainy,4,0
408,2017-01-01,cloudy,3,0
409,2017-01-01,sunny,6,0
410,2017-01-01,sunny,3,0
411,2017-01-01,sunny,5,0
412,2017-01-01,rainy,2,0
413,2017-01-01,rainy,9,0
414,2017-01-01,rainy,8,0
415,2017-01-01,sunny,5,0
416,2017-01-01,rainy,8,0
417,2017-01-01,cloudy,13,0
418,2017-01-01,rainy,3,0
419,2017-01-01,cloudy,4,0
420,2017-01-01,cloudy,0,0
421,2017-01-01,rainy,10,0
422,2017-01-01,sunny,1,0
423,2017-01-01,sunny,1,0
424,2017-01-01,cloudy,6,0
425,2017-01-01,cloudy,8,0
426,2017-01-01,cloudy,4,0
427,2017-01-01,cloudy,4,0
428,2017-01-01,rainy,3,0
429,2017-01-01,stormy,5,0
430,2017-01-01,cloudy,3,0
431,2017-01-01,cloudy,1,0
432,2017-01-01,stormy,7,0
433,2017-01-01,rainy,6,0
434,2017-01-01,sunny,7,0
435,2017-01-01,rainy,3,0
436,2017-01-01,sunny,8,0
437,2017-01-01,cloudy,5,0
438,2017-01-01,rainy,9,0
439,2017-01-01,cloudy,1,0
440,2017-01-01,cloudy,4,0
441,2017-01-01,sunny,7,0
442,2017-01-01,rainy,6,0
443,2017-01-01,sunny,9,0
444,2017-01-01,rainy,4,0
445,2017-01-01,rainy,-1,0
446,2017-01-01,cloudy,3,0
447,2017-01-01,rainy,4,0
448,2017-01-01,sunny,7,0
449,2017-01-01,sunny,4,0
450,2017-01-01,stormy,9,0
451,2017-01-01,cloudy,0,0
452,2017-01-01,rainy,6,0
453,2017-01-01,rainy,9,0
454,2017-01-01,rainy,2,0
455,2017-01-01,rainy,2,0
456,2017-01-01,sunny,8,0
457,2017-01-01,sunny,3,0
458,2017-01-01,cloudy,5,0
459,2017-01-01,rainy,9,0
460,2017-01-01,rainy,5,0
461,2017-01-01,stormy,9,0
462,2017-01-01,rainy,8,0
463,2017-01-01,stormy,2,0
464,2017-01-01,sunny,10,0
465,2017-01-01,cloudy,-1,0
466,2017-01-01,stormy,5,0
467,2017-01-01,rainy,2,0
468,2017-01-01,rainy,6,0
469,2017-01-01,sunny,8,0
470,2017-01-01,rainy,2,0
471,2017-01-01,cloudy,2,0
472,2017-01-01,rainy,6,0
473,2017-01-01,sunny,5,0
474,2017-01-01,rainy,7,0
475,2017-01-01,sunny,7,0
476,2017-01-01,cloudy,5,0
477,2017-01-01,stormy,0,0
478,2017-01-01,stormy,6,0
479,2017-01-01,cloudy,5,0
480,2017-01-01,sunny,7,0
481,2017-01-01,rainy,3,0
482,2017-01-01,rainy,1,0
483,2017-01-01,rainy,-2,0
484,2017-01-01,sunny,7,0
485,2017-01-01,rainy,8,0
486,2017-01-01,stormy,5,0
487,2017-01-01,cloudy,9,0
488,2017-01-01,rainy,5,0
489,2017-01-01,rainy,9,0
490,2017-01-01,cloudy,8,0
491,2017-01-01,rainy,8,0
492,2017-01-01,sunny,6,0
493,2017-01-01,cloudy,6,0
494,2017-01-01,rainy,4,0
495,2017-01-01,rainy,8,0
496,2017-01-01,rainy,7,0
497,2017-01-01,rainy,2,0
498,2017-01-01,cloudy,9,0
499,2017-01-01,rainy,8,0
500,2017-01-01,sunny,2,0
501,2017-01-01,rainy,6,0
502,2017-01-01,cloudy,0,0
503,2017-01-01,stormy,7,0
504,2017-01-01,cloudy,5,0
505,2017-01-01,stormy,3,0
506,2017-01-01,stormy,3,0
507,2017-01-01,rainy,3,0
508,2017-01-01,rainy,-3,0
509,2017-01-01,rainy,4,0
510,2017-01-01,cloudy,7,0
511,2017-01-01,rainy,6,0
512,2017-01-01,rainy,3,0
513,2017-01-01,stormy,6,0
514,2017-01-01,rainy,8,0
515,2017-01-01,stormy,9,0
516,2017-01-01,stormy,3,0
517,2017-01-01,cloudy,5,0
518,2017-01-01,rainy,8,0
519,2017-01-01,sunny,5,0
520,2017-01-01,sunny,11,0
521,2017-01-01,cloudy,1,0
522,2017-01-01,sunny,2,0
523,2017-01-01,stormy,4,0
524,2017-01-01,rainy,12,0
525,2017-01-01,sunny,6,0
526,2017-01-01,rainy,6,0
527,2017-01-01,cloudy,6,0
528,2017-01-01,stormy,1,0
529,2017-01-01,cloudy,6,0
530,2017-01-01,sunny,8,0
531,2017-01-01,rainy,8,0
532,2017-01-01,rainy,10,0
533,2017-01-01,rainy,6,0
534,2017-01-01,cloudy,4,0
535,2017-01-01,stormy,9,0
536,2017-01-01,rainy,2,0
537,2017-01-01,rainy,10,0
538,2017-01-01,cloudy,6,0
539,2017-01-01,sunny,7,0
540,2017-01-01,rainy,9,0
541,2017-01-01,sunny,7,0
542,2017-01-01,rainy,7,0
543,2017-01-01,sunny,9,0
544,2017-01-01,rainy,7,0
545,2017-01-01,cloudy,2,0
546,2017-01-01,cloudy,0,0
547,2017-01-01,sunny,4,0
548,2017-01-01,stormy,5,0
549,2017-01-01,stormy,5,0
550,2017-01-01,cloudy,5,0
551,2017-01-01,rainy,5,0
552,2017-01-01,cloudy,8,0
553,2017-01-01,rainy,7,0
554,2017-01-01,rainy,0,0
555,2017-01-01,stormy,0,0
556,2017-01-01,cloudy,4,0
557,2017-01-01,sunny,6,0
558,2017-01-01,rainy,7,0
559,2017-01-01,sunny,9,0
560,2017-01-01,stormy,7,0
561,2017-01-01,sunny,10,0
562,2017-01-01,stormy,-1,0
563,2017-01-01,stormy,3,0
564,2017-01-01,sunny,4,0
565,2017-01-01,cloudy,6,0
566,2017-01-01,sunny,4,0
567,2017-01-01,rainy,3,0
568,2017-01-01,cloudy,5,0
569,2017-01-01,rainy,5,0
570,2017-01-01,rainy,-2,0
571,2017-01-01,cloudy,3,0
572,2017-01-01,stormy,1,0
573,2017-01-01,cloudy,9,0
574,2017-01-01,rainy,7,0
575,2017-01-01,sunny,0,0
576,2017-01-01,sunny,10,0
577,2017-01-01,cloudy,8,0
578,2017-01-01,cloudy,8,0
579,2017-01-01,sunny,10,0
580,2017-01-01,stormy,6,0
581,2017-01-01,rainy,2,0
582,2017-01-01,rainy,7,0
583,2017-01-01,rainy,6,0
584,2017-01-01,rainy,7,0
585,2017-01-01,sunny,8,0
586,2017-01-01,rainy,3,0
587,2017-01-01,rainy,5,0
588,2017-01-01,cloudy,5,0
589,2017-01-01,rainy,2,0
590,2017-01-01,stormy,7,0
591,2017-01-01,rainy,3,0
592,2017-01-01,rainy,5,0
593,2017-01-01,rainy,10,0
594,2017-01-01,cloudy,5,0
595,2017-01-01,cloudy,7,0
596,2017-01-01,cloudy,1,0
597,2017-01-01,rainy,-4,0
598,2017-01-01,cloudy,6,0
599,2017-01-01,cloudy,11,0
600,2017-01-01,stormy,6,0
601,2017-01-01,rainy,4,0
602,2017-01-01,cloudy,5,0
603,2017-01-01,sunny,7,0
604,2017-01-01,stormy,4,0
605,2017-01-01,sunny,8,0
606,2017-01-01,rainy,7,0
607,2017-01-01,cloudy,3,0
608,2017-01-01,stormy,4,0
609,2017-01-01,rainy,5,0
610,2017-01-01,rainy,8,0
611,2017-01-01,rainy,2,0
612,2017-01-01,cloudy,2,0
613,2017-01-01,sunny,4,0
614,2017-01-01,cloudy,8,0
615,2017-01-01,rainy,3,0
616,2017-01-01,cloudy,6,0
617,2017-01-01,cloudy,3,0
618,2017-01-01,rainy,3,0
0,2017-01-02,rainy,7,919
1,2017-01-02,cloudy,4,1166
2,2017-01-02,cloudy,0,961
3,2017-01-02,rainy,6,475
4,2017-01-02,cloudy,3,1178
5,2017-01-02,cloudy,4,720
6,2017-01-02,cloudy,-1,1060
7,2017-01-02,cloudy,3,715
8,2017-01-02,stormy,10,616
9,2017-01-02,cloudy,6,1053
10,2017-01-02,cloudy,4,1050
11,2017-01-02,rainy,1,413
12,2017-01-02,sunny,6,952
13,2017-01-02,sunny,3,524
14,2017-01-02,rainy,10,1400
15,2017-01-02,rainy,7,1110
16,2017-01-02,cloudy,4,1500
17,2017-01-02,stormy,6,550
18,2017-01-02,rainy,3,1093
19,2017-01-02,cloudy,5,893
20,2017-01-02,rainy,9,878
21,2017-01-02,rainy,4,454
22,2017-01-02,sunny,6,1124
23,2017-01-02,rainy,3,1063
24,2017-01-02,cloudy,6,1023
25,2017-01-02,sunny,8,626
26,2017-01-02,stormy,6,1247
27,2017-01-02,sunny,6,1203
28,2017-01-02,rainy,3,1109
29,2017-01-02,rainy,0,458
30,2017-01-02,cloudy,4,1431
31,2017-01-02,stormy,0,777
32,2017-01-02,rainy,8,753
33,2017-01-02,rainy,2,839
34,2017-01-02,stormy,2,1090
35,2017-01-02,sunny,7,873
36,2017-01-02,cloudy,7,1339
37,2017-01-02,rainy,7,1186
38,2017-01-02,rainy,6,892
39,2017-01-02,cloudy,2,1128
40,2017-01-02,rainy,1,1100
41,2017-01-02,rainy,1,1273
42,2017-01-02,cloudy,4,1285
43,2017-01-02,rainy,5,957
44,2017-01-02,stormy,7,833
45,2017-01-02,cloudy,4,1290
46,2017-01-02,cloudy,5,1264
47,2017-01-02,rainy,7,980
48,2017-01-02,cloudy,8,926
49,2017-01-02,rainy,0,933
50,2017-01-02,cloudy,7,1297
51,2017-01-02,sunny,4,752
52,2017-01-02,stormy,4,1114
53,2017-01-02,rainy,-3,850
54,2017-01-02,cloudy,3,630
55,2017-01-02,rainy,8,1139
56,2017-01-02,rainy,4,681
57,2017-01-02,cloudy,4,941
58,2017-01-02,rainy,1,1002
59,2017-01-02,sunny,8,1140
60,2017-01-02,sunny,3,899
61,2017-01-02,rainy,3,1776
62,2017-01-02,sunny,6,1110
63,2017-01-02,cloudy,10,1087
64,2017-01-02,cloudy,1,1173
65,2017-01-02,rainy,1,874
66,2017-01-02,rainy,-1,749
67,2017-01-02,rainy,1,751
68,2017-01-02,stormy,6,1136
69,2017-01-02,rainy,2,595
70,2017-01-02,sunny,5,1011
71,2017-01-02,stormy,8,1235
72,2017-01-02,rainy,6,924
73,2017-01-02,sunny,5,1302
74,2017-01-02,rainy,1,1533
75,2017-01-02,rainy,4,1271
76,2017-01-02,rainy,2,808
77,2017-01-02,cloudy,12,1199
78,2017-01-02,cloudy,0,1218
79,2017-01-02,cloudy,8,1022
80,2017-01-02,stormy,3,374
81,2017-01-02,sunny,10,1515
82,2017-01-02,sunny,9,767
83,2017-01-02,rainy,0,1126
84,2017-01-02,cloudy,2,814
85,2017-01-02,stormy,5,836
86,2017-01-02,sunny,5,939
87,2017-01-02,cloudy,4,946
88,2017-01-02,stormy,6,1144
89,2017-01-02,sunny,6,1172
90,2017-01-02,sunny,9,1005
91,2017-01-02,rainy,3,714
92,2017-01-02,sunny,9,1181
93,2017-01-02,stormy,5,1079
94,2017-01-02,stormy,6,837
95,2017-01-02,cloudy,4,1197
96,2017-01-02,cloudy,5,778
97,2017-01-02,stormy,11,1018
98,2017-01-02,cloudy,7,743
99,2017-01-02,sunny,5,1327
100,2017-01-02,sunny,9,1210
101,2017-01-02,rainy,8,1189
102,2017-01-02,sunny,5,982
103,2017-01-02,cloudy,8,896
104,2017-01-02,sunny,6,867
105,2017-01-02,sunny,5,1093
106,2017-01-02,stormy,6,1450
107,2017-01-02,stormy,6,716
108,2017-01-02,rainy,9,922
109,2017-01-02,sunny,6,1358
110,2017-01-02,sunny,9,1035
111,2017-01-02,stormy,8,1081
112,2017-01-02,rainy,3,859
113,2017-01-02,rainy,2,1008
114,2017-01-02,rainy,7,1075
115,2017-01-02,stormy,7,844
116,2017-01-02,sunny,4,818
117,2017-01-02,sunny,3,579
118,2017-01-02,rainy,3,774
119,2017-01-02,rainy,2,1210
120,2017-01-02,stormy,5,1123
121,2017-01-02,sunny,3,1101
122,2017-01-02,cloudy,5,1331
123,2017-01-02,rainy,5,1211
124,2017-01-02,stormy,7,901
125,2017-01-02,rainy,4,1184
126,2017-01-02,cloudy,2,1192
127,2017-01-02,cloudy,4,1014
128,2017-01-02,cloudy,7,878
129,2017-01-02,cloudy,4,1219
130,2017-01-02,sunny,6,744
131,2017-01-02,rainy,7,861
132,2017-01-02,sunny,8,1198
133,2017-01-02,sunny,3,1411
134,2017-01-02,rainy,-2,658
135,2017-01-02,sunny,3,1380
136,2017-01-02,sunny,10,960
137,2017-01-02,sunny,9,1100
138,2017-01-02,rainy,-1,1360
139,2017-01-02,cloudy,5,1134
140,2017-01-02,cloudy,2,1304
141,2017-01-02,sunny,3,1009
142,2017-01-02,cloudy,4,1089
143,2017-01-02,rainy,-1,1321
144,2017-01-02,sunny,6,997
145,2017-01-02,stormy,1,708
146,2017-01-02,cloudy,7,1125
147,2017-01-02,rainy,6,720
148,2017-01-02,sunny,10,1203
149,2017-01-02,rainy,6,1496
150,2017-01-02,sunny,8,1347
151,2017-01-02,rainy,4,1445
152,2017-01-02,cloudy,5,1576
153,2017-01-02,stormy,5,858
154,2017-01-02,rainy,-2,933
155,2017-01-02,stormy,8,816
156,2017-01-02,rainy,4,869
157,2017-01-02,rainy,3,784
158,2017-01-02,sunny,5,884
159,2017-01-02,rainy,6,1589
160,2017-01-02,rainy,5,1312
161,2017-01-02,rainy,4,920
162,2017-01-02,cloudy,9,918
163,2017-01-02,rainy,4,1121
164,2017-01-02,rainy,9,1081
165,2017-01-02,cloudy,10,963
166,2017-01-02,sunny,8,974
167,2017-01-02,rainy,3,941
168,2017-01-02,sunny,8,1036
169,2017-01-02,cloudy,3,839
170,2017-01-02,sunny,3,907
171,2017-01-02,rainy,2,1350
172,2017-01-02,cloudy,3,843
173,2017-01-02,stormy,8,924
174,2017-01-02,sunny,2,1639
175,2017-01-02,cloudy,0,916
176,2017-01-02,stormy,5,1051
177,2017-01-02,rainy,5,1187
178,2017-01-02,rainy,3,722
179,2017-01-02,rainy,7,845
180,2017-01-02,rainy,8,934
181,2017-01-02,rainy,4,860
